,Username,Ciudad,Departamento,Pais,Título,Pregunta,Propuesta,Descripción,Votos a favor
573,Claudia Estefania Alava Terán,Ibague,Tolima,Colombia,¿Cuál es la mejor propuesta para luchar contra la violencia intrafamiliar?,¿Cuál es la mejor propuesta para luchar contra la violencia intrafamiliar?,la violencia intrafamiliar en menores,"crear centros de convivencia familiar los cuales estarán ubicados: en zona urbana: uno en cada barrio, y en zona rural: uno en cada corregimiento, donde se le puede brindar ayuda a los padres de estos menores por medio de charlas psicológicas o formativas, actividades pedagógicas que complemente la buena convivencia familiar.
informar por medios comunicativos como:propagandas de tv, redes sociales, radio, volantes, los impactos que causa en los individuos las acciones que constituyen violencia intrafamiliar en menores, partiendo de ello se incentivara a que todas las situaciones conflictivas en las familias sean direccionadas por expertos en el tema que proyecten soluciones idóneas.",5
620,Daddy Machado,Medellín,Antioquia,Colombia,¿Con qué criterios definirías la prioridad de las vías terciarias a intervenir?,¿Crees que las grandes obras de infraestructura deben igualmente intervenir las vías secundarias y terciarias?,optimización de red vial terciaria,"en nuestra regiones se adolece de buenas vías de penetración a nuestros corregimientos y veredas, es por ello que debemos realizar un censo real por regiones de cuales son las vías prioritarias de la red terciaria que se deben intervenir para de esta forma dar mayor movilidad a nuestros campesinos de sacar sus cosechas.",5
637,Daniel Vergara,Bucaramanga,Santander,Colombia,¿Cómo integrarías a los artistas colombianos en la Economía Naranja?,¿Cómo integrarías a los artistas colombianos en la Economía Naranja?,vanguardia para el folclore,ir  a las poblaciones donde estan los nichos . del .  talento . popular y capacitarlos en la musica . mundial para que implementen . nuevos sonidos dentro . del . folclore . popular,5
653,Darioyorley,Braunschweig,Lower Saxony,Germany,¿Con qué criterios definirías la prioridad de las vías terciarias a intervenir?,¿Crees que las grandes obras de infraestructura deben igualmente intervenir las vías secundarias y terciarias?,vias con ingenieria militar y mano de obra de población reclusa,"el ejercito nacional, a través de su arma de ingenieria, podría realizar el diseño de las vías terciarias que requieren intervención. la mano de obra provendría de población reclusa (la que mejor se haya comportado) que puede cambiar día de trabajo por 2 días de cárcel. no se está reemplazando mano de obra local puesto que hoy en día nadie está realizando esas obras y las carreteras terminadas favorecerán a toda la población. este esquema también sirve para construir ferrocarriles en muchos lugares aptos para ello (sabana de bogotá, valles del rio cauca y magdalena, llanos orientales, etc).",5
671,Diakaber,Pereira,Risaralda,Colombia,¿Qué idea propones para que la educación pública llegue a más colombianos?,¿Qué idea propones para que la educación pública llegue a más colombianos?,la educación virtual al alcance de todos,"la tecnología está al alcance de nuestras manos, sin embargo es cierto que siguen existiendo problemas de conectividad en algunas zonas del país, pero aún así creo que en la educación virtual se puede encontrar una buena herramienta para llegar a las comunidades.
la propuesta está enfocada a la creación de programas de educación básica y media vocacional para adultos que deseen continuar con su educación y adicionalmente que mas universidades públicas crearan programas académicos virtuales.",5
688,Diego Cardenas,Bogotá,Bogota D.C.,Colombia,¿Cómo reducirías trámites y costos en la conformación  de empresas en Colombia?,¿Crees que en Colombia es difícil hacer y consolidar empresas?,proyecto de ley pro-emprendedor,"por cada millón de corrupción que se pierde se compensará en la creación de empresas y habrán prioridades si son jóvenes universitarios o sociedades familiares.
si se baja la carga tributaria de. las empresas, entonces que su creación no sea con altas barreras, más bien se genere mayor asesoría.",5
696,Diego López,Cartagena,Bolivar,Colombia,¿Cómo podemos desarrollar el talento a temprana edad?,¿Cómo podemos desarrollar el talento a temprana edad?,proyectos de interés comunitario,"a través de la formulación y ejecución de proyectos que suplan necesidades que tenga una comunidad determinada en el municipio (pobreza extrema, venezolanos, entre otros), teniendo en cuenta a los profesionales locales y de la región que, desde sus perfiles profesionales y ocupacionales, puedan apoyar estas iniciativas que den paso al desarrollo del municipio y, por ende, de la región.",5
700,Diego Salgado,Bogotá,Bogota D.C.,Colombia,¿Cómo mejorarías el acceso a los servicios sociales del Estado?,"¿Crees que con los servicios sociales del estado, todas tus necesidades básicas están cubiertas?",formación digital ciudadana para la consolidación de comunidades educativas.,"objetivo general : 
implementar una estrategia de promoción y gestión de  políticas públicas (men) basada en  tic -lógica de redes-, para fortalecer la apropiación ciudadana de las mismas en diferentes niveles de relación entre estado y ciudadanía, alrededor de iniciativas de formación, interacción y retroalimentación en doble vía a través de plataforma digital. (internet, medios y dispositivos móviles).",5
701,Diego.Florez,Medellín,Antioquia,Colombia,¿Cómo la tecnología ayuda a los campesinos a sacarle provecho a sus cultivos?,Utiliza la tecnología para ayudar a los campesinos a saber cómo sacarle provecho a sus cultivos,acceso y uso de información mediante internet,todas las personas dedicadas a la producción de comida deberían enfocarse en negocios que generen soluciones a los problemas tales como el abastecimiento de comida y la sostenibilidad ambiental asociada a la comida. lo propuesto en el documental del año 2015 llamado tomorrow (demain)  explica cómo las producciones a mediana y pequeña escala son más beneficiosas de cara a la sostenibilidad del planeta y a la economía en general. para lograr el tipo de producción de alimentos propuesta en el documental (sección en donde se compara la producción a escala masiva/industrial con la de una granja en francia) es necesaria la información y la capacitación en permacultura para los productores.,5
702,Diego.Florez,Medellín,Antioquia,Colombia,¿Cómo la tecnología ayuda a los campesinos a sacarle provecho a sus cultivos?,Utiliza la tecnología para ayudar a los campesinos a saber cómo sacarle provecho a sus cultivos,internet y formación en permacultura,"dar acceso a internet y facilitar la formación de las personas que se ocupan o quieren ocupar en la producción de vegetales, frutas, cereales, legumbres, frutos secos; para que utilicen la permacultura y la agroecología. un ejemplo de esta actividad se puede consultar en el documental tomorrow (demain, 2015, aproximadamente entre los minutos 18 y 33). esta actividad tiene le potencial de mejorar las finanzas del negocio y de contribuir significativamente a la sostenibilidad ambiental. para la economía es mejor pues es más productivo que los métodos de escala masiva, como se explica en el documental.",5
704,Diegopalacio,Sincelejo,Sucre,Colombia,¿Cómo podrían las entidades públicas innovar para mejorar procesos y servicios?,"¿Cómo podrían las entidades públicas innovar para mejorar procesos, servicios y políticas públicas?",haciendo uso de las tic,"como todos saben la tecnología está avanzando de manera exponencial y siempre busca la agilización de procesos, tiempos y las llamadas colas .
creando aplicaciones móviles de los servicios o solicitudes que uno pueda hacer a entidades públicas. 
ejemplo una alcaldía , sí necesito una carta de residencia ingreso a la aplicación de la alcaldía, en el módulo secretaria de gobierno , solicito la carta de residencia , imprimo la liquidación, escaneo el recibo pagado y listo solo quedaría imprimir la carta o solo ir a reclamarla .
y así con todas las dependencias de la alcaldia. 
y así con todas las entidades públicas del país.",5
705,Diegopalacio,Sincelejo,Sucre,Colombia,Plantea una forma para que los Colombianos reciclen más en sus hogares,¿Colombia tiene arraigada la cultura del descuido por el medio ambiente?,banco reciclable,"crear en cada municipio y ciudad un banco reciclable. lo que propongo es motivar a las personas que si recicla recibe dinero, pero no en efectivo se pueden dar bonos redimibles en almacenes de cadena o haciendo la función de banco, es decir, que lleven por ejemplo cartón y se lleve en un software cuánto lleva x persona y lo ahorra hasta que decida redimirlo , esta propuesta generaría empleo a los de caja , se necesitaría recolectores que vayan barrio por barrio se podría formalizar el trabajo de ""reciclador"" que tendría un dividendo entre el que recicle y él por llevarlo al ""banco reciclable"", y además a quienes diseñen el software y gana el estado por vender lo que se recoja",5
719,Directorgeneral@Nhtinternational.Com,Bogotá,Bogota D.C.,Colombia,Plantea una forma de que no haya tantos intermediarios en el comercio del campo,¿Crees que la tecnología reducirá a los intermediarios del mercado?,mi granja digital - red de comercio justo!,"implementacion de un ecosistema que permita la integracion de los actores de la cadena de valor (empresarios del agro como agricultores, agremiaciones de alimentos, empresarios del transporte, grandes superficies y consumidores finales de los productos). 

el proyecto se divide en 3 etapas; la primera busca visibilizar a los empresarios del agro y exponer la oferta real de los productos que se producen en colombia. esto permitirs en primerq medida la especulacion precios y cantidades de productos alimenticios por parte de los intermediarios de estos productos.

la segunda etapa integrara a los demas actores para consolidar la demanda de consumo de los productos.

finalmente la tercera etapa.",5
721,Doris Lised Casañas Velasco,Bello,Antioquia,Colombia,¿Cómo podemos identificar fácilmente a los expendedores de droga?,¿Cómo podemos identificar fácilmente a los expendedores de droga?,el consumo de sustancias incentiva   su expendió.,"sin dejar de lado la lucha contra los narcotraficantes, se debe tomar  mas enserio  los programas de rehabilitación  de los   consumidores de sustancias psicoactivas, pues si bien ya no se puede intervenir sobre lo importante  se debe actuar sobre lo urgente, que es crear sitios especializados para tratar este tipo de situaciones,  ademas de formar y  fomentar  profesionales, especialistas y demás en el tema",5
752,Edwardr679,Santiago de Cali,Valle del Cauca,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,cero corrupción y velar por la meritocracia en encargos docentes y directivos,"la asignación de cargos docentes provisionales y encargos directivos por parte de docentes en propiedad, casi en todas las ocasiones se ve permeada por amaños politiqueros, esto impide que sean los maestros más preparados quienes ocupen las provisionalidades y los encargos directivos, esto atenta directamente en contra de la calidad en la educación",5
764,Elizabeth Garcia Diaz,Barranquilla,Atlántico,Colombia,¿Cómo integrarías a los artistas colombianos en la Economía Naranja?,¿Cómo integrarías a los artistas colombianos en la Economía Naranja?,fundacion casa-arte,"como artista, quiero crear una fundación donde pueda transmitir mis conocimientos en arte a madres cabezas de familia, interesadas en mejorar su calidad de vida y la de sus familiares a través de labores innovadoras fucionadas con el arte. por ejemplo; involucrar el arte con la moda elaborando prendas pintadas a mano, con la repostería, elaborando tortas pintadas y esculpidas e involucrar el arte con la decoración. de esta forma el producto terminado seria comercializado, a precios accesibles y generaríamos empleo a muchos artistas con disposición de enseñar, contribuyendo a que las mujeres logren salir de la rutina diaria haciendo algo productivo.",5
767,Elizabeth Gonzalez Londoño,Bogotá,Bogota D.C.,Colombia,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,enseñar al adulto mayor un arte,"si el adulto mayor se prepara en un arte u oficio podrá ser más útil a la sociedad por su propio beneficio , para la familia y la sociedad , podrá ser una mano de obra útil y de pronta más económica sin cargas  prestacionales",5
780,Emanuel Rodriguez,Bogotá,no hay registro,Colombia,Plantea una forma de que no haya tantos intermediarios en el comercio del campo,¿Crees que la tecnología reducirá a los intermediarios del mercado?,plataforma de venta directa al publico.,"el principal problema en la distribucion de la produccion agricola en colombia es la infraestructura, por eso la gran cantidad de intermediarios a la hora des distribuirla ya que no es facil, de modo que mi propuesta es simplificar atravez de app moviles y una pagina en internet para que los campesinos oferten sus cosechas en la red directamente a sus clientes ya sea tiendas o particulares de modo que puedan hacer sus pedidos directamente y enviados por transportadores especializados quienes serian los unicos intermediarios entre el productor y el consumidor. para ser parte de los provedodores del sistema el agricultor debera cumplir con condiciones basicas de saneamiento en todo el proceso.",5
793,Equipo Regional Atlántico Familias En Acción,Bogotá,no hay registro,Colombia,¿Qué estrategia propones para mejorar el programa de Más Familias en Acción?,¿Crees que ha sido exitoso el programa de Familias en Acción?,mejora de la atención diferencial a niños y niñas en condición de discapacidad,"rediseñar los criterios de atención diferencial a nna con condiciones de discapacidad que no le permitan asistir al colegio, mediante una marca especial diseñada por el ministerio de salud especificando los casos donde podría aplicar esta excepción, con el fin de que puedan seguir recibiendo incentivos del programa a pesar de no encontrarse escolarizados o en los casos donde su educación se realice en instituciones especiales.",5
794,Equipo Regional Atlántico Familias En Acción,Bogotá,no hay registro,Colombia,¿Qué estrategia propones para mejorar el programa de Más Familias en Acción?,¿Crees que ha sido exitoso el programa de Familias en Acción?,mejora de mecanismos de control para la ejecución de convenios en los municipios,"diseñar metodología institucional (guia operativa) para el control, seguimiento y evaluación de la ejecución de los convenios interadministrativos de familias en acción con las alcaldías municipales y determinación de instancias y mecanismos de sanciones frente a incumplimientos reiterativos por parte de alcaldías municipales, con participación de organismos de control estatal como procuraduría y contraloría.",5
795,Equipo Regional Atlántico Familias En Acción,Bogotá,no hay registro,Colombia,¿Qué estrategia propones para mejorar el programa de Más Familias en Acción?,¿Crees que ha sido exitoso el programa de Familias en Acción?,rediseño de criterios de focalización de las familias beneficiarias del programa,"rediseñar la normatividad legal vigente sobre los requisitos de focalización e inscripción de familias al programa, con el fin de garantizar el ingreso de solo familias pobres y en pobreza extrema.",5
797,Equipo Regional Atlántico Familias En Acción,Bogotá,no hay registro,Colombia,¿Qué estrategia propones para mejorar el programa de Más Familias en Acción?,¿Crees que ha sido exitoso el programa de Familias en Acción?,valoración de evolución positiva de nutrición de niños y niñas del programa,"incluir dentro de los criterios de cumplimiento de compromisos en salud que deben llevar a cabo las familias inscritas para recibir los incentivos, la certificación de la evolución positiva de las condiciones de nutrición de los niños y niñas menores de 6 años, incluida en el proceso de verificación que realizan las ips al programa, y no solo la asistencia a los ccd",5
798,Eraythe Cordoba Delgado,Bogotá,Bogota D.C.,Colombia,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,la burocracia puede mantener a nuestros adultos mayores,"en cada una de las corporaciones publicas del país, especialmente alcaldías, gobernaciones,  casa presidencial... observar todos y cada uno de los cargos que no son necesarios, y ese salario pasarlo al fondo para mantener con una media pensión digna a nuestros adultos mayores.",5
826,Ezequiel Hernández Soto,Medellín,Antioquia,Colombia,¿Cuál es la mejor manera de  combatir la corrupción en las entidades del estado?,¿Crees que este problema se puede erradicar por completo?,carrera judicial para los mejores profesionales del derecho,"sólo los mejores profesionales del derecho deben ingresar a la carrera judicial por ejemplo para ser juez , notas académicas superiores a 4.0 , examen de ingreso riguroso e imparcial ente calificado , pruebas psicológicas , prueba del polígrafo , llegar a magistrado de tribunal mínimo 10 años como juez y mayor de 35 años , para llegar a magistrado de la corte 10 años en el tribunal y mayor de 55  años .
la carrera judicial debe constituirse en ejemplo para las demás áreas de la función pública , se debe tener una propia uuniversidad , para la investigación , innovación y formación de los jueces.",5
836,Fabiangomez,Bogotá,Bogota D.C.,Colombia,¿Cómo mejorarías el acceso a los servicios sociales del Estado?,"¿Crees que con los servicios sociales del estado, todas tus necesidades básicas están cubiertas?",funcionarios públicos capacitados en etica y valores,"mediante las plataformas web del sena y de la universidad escuela superior de administración pública obligar a todos los funcionarios al servicio del estado (estado, gobernaciones, municipios, empresas descentralizadas y concejos y demas) a realizar un curso en formación de etica y valores para preveer casos de corrupción",5
837,Fabio,Bogotá,no hay registro,Colombia,¿Cómo erradicarías la pobreza en Colombia?,¿Cómo erradicarías la pobreza en Colombia?,mas acción menos corrupción,como mandatario lo primero seria verificar que los recursos sean bien utilizados y no que se queden en las cuentas de terceros o políticos. la solución no es subir impuestos la solución esta en invertirlos en totalidad para lo que fue destinados,5
847,Fany Stella Montagut,Villa del Rosario,Norte de Santander,Colombia,¿Cómo crees que la tecnología puede ayudar a las pymes a mejorar sus procesos?,¿Hay suficientes incentivos para la creación de empresas en Colombia?,generando cultura de innovacion,"un programa que se desarrolle en 3 lineas: capacitacion en innovacion, ruta de innovacion apoyada en tecnologias de la informacion, priorizacion de proyectos con fuentes de recursos hacia la generacion de prototipos y el registro de patentes y propiedad.",5
855,Felixeliasherreracantillo,Bogotá,no hay registro,Colombia,¿Cómo mejorarías el acceso a los servicios sociales del Estado?,"¿Crees que con los servicios sociales del estado, todas tus necesidades básicas están cubiertas?",acceso ágil a programas de vivienda,"nos vemos enfrentado a un problema social en colombia debido a la falta de una vivienda digna, el gobierno tiene programas, ¿que tan ágil es el programa?, debido a la cantidad de tramites a los que se ven enfrentados los afectados, muchos desertan,  y por lo general el tramite demora años en surtir efecto.
yo propongo resumir el tramite a una solución, se creen dos bases de datos nacionales, una con las personas necesitadas, (que ya debe existir) y la otra con todos los tipos de vivienda por región donde se pueda ahorra el tramite de diseño y estudio, donde los proyectos sean mas sociales que técnicos, donde se le ahorre dinero en estudios a los beneficiarios y los contratista no lo incluya",5
860,Feres H Acevedo,Medellín,Antioquia,Colombia,Plantea una forma para que los Colombianos reciclen más en sus hogares,¿Colombia tiene arraigada la cultura del descuido por el medio ambiente?,"los niños, los mejores maestros en pro del medio ambiente","es muy sencillo y es captado de la educación japonesa, en donde todo empieza en casa y se transmite a las escuelas y parte de grados en los colegios.
se debe enseñar a los niños quien son los mejores educadores y hacerlos participes de las actividades de conocer, diferenciar y poder clasificar cada residuo en el lugar que debe ser. mas avanzada edad se les enseña a a profundizar que son los residuos (no se dice basura) comunes, no comunes y peligrosos (respel), porque afectan algunos al medio ambiente y demás actividades que influyen en tratar de preservarlo.
se debe tomar conciencia ambiental y dar participación a los entes que allí intervienen.
educar a los niños es volver a tomar valores",5
864,Ferney Barrios,Barranquilla,Atlántico,Colombia,¿Cómo logramos que los jóvenes puedan ubicarse laboralmente y ser competitivos?,¿Cómo logramos que los jóvenes puedan ubicarse laboralmente y ser competitivos?,educacion financiera y emprendimiento,"¿se trata de implementar en el pensum de educacion a nivel nacional educacion financiera y emprendimiento con el fin de cambiar el pensamiento de que debemos estudiar para conseguir un buen empleo y empezar a pensar en como generar proyectos productivos o ideas de negocios , innovación para asi mejorar la situacion laboral de el pais , y ayudar a fomentar ideas que transformen desde distintos ambitos (social ,cultural,etc ) la situacion actual del país. educacion financiera + emprendimiento = mas empresarios + mas alternativas",5
881,Francisco Adolfo Cabrera De La Rosa,Bogotá,no hay registro,Colombia,¿Cómo incentivarías a los ciudadanos a cuidar el medio ambiente?,¿Crees que hay la suficiente conciencia en Colombia para cuidar el medio ambiente?,reforestacion de cuencas hidrograficas con participacion de escuelas rurales,"de manera participativa de los alumnos de quinto grado de primaria de las escuelas rurales a quienes se comprometerian y que  sea un requisito obligatorio para poder dar por terminada su educacion primaria el entregar sembrados y vivos,  dos (2) árboles, en la cuenca hidrográfica de la que se surte el agua su establecimiento . el profesor será el encargado de realizar esta actividad, coordinado con la corporación autonoma ´de su jurisdicción quien dará la asistencia técnica y suministrará el material vegetal que se requiera. con las secretarías de educación de las que dependa la escuela se capacitaría a los profesores y se establecerán estimulos a los que cumplan con la meta .",5
890,Freddysantos,Cúcuta,Norte de Santander,Colombia,Formula una alternativa para atender a los migrantes que están llegando al país,Formula una alternativa para atender a los migrantes que están llegando al país,asesoria al migrante.,"orientar al migrante mediante las instituciones de la onu, defensoria y demas institucciones de derechos humanos, con la finalidad de que el migrante no sea un problema de gasto para el pais, si no q sea insertado al campo laboral que se ha especializado contribuyendo a la economia y progreso del pais, por ejemplo si llegan medicos, enfermeros, existen espacios del territorio donde ni siquiera hay servicios de salud, esto ayudaria a direccionar y atender al migrante y ademas permitira que aporten a la economia nacional, aportando nuevos conocimientos al pais, generando a su vez desarrollo y bienestar. todo el apoyo tambien de los entes privados, pero debe otorgarsele permiso y asignacion lab",5
912,Gabriel Eduardo Niño,Ibague,Tolima,Colombia,Plantea una forma de que no haya tantos intermediarios en el comercio del campo,¿Crees que la tecnología reducirá a los intermediarios del mercado?,comercializacion coopertiva,"la estructura  agricola es de minifundio ,  por esto la solucion  es ,se deben de hacer cooperativas  de productores , y esta , la cooperativa se encarga  de comercializar los productos , y agroindustria  y transformacion , tambien   yo conosco coopertivas de latifundios que lo hacen , .. .. 
con una organizacion asi  y que haya excedentes economicos  orientados a la exportacion  .",5
942,Gina Reyes,Ibague,Tolima,Colombia,¿Cuál sería la mejor estrategia para reintegrar a quienes han dejado las armas?,¿Crees que los reinsertados podrían tener una fácil transición a la vida civil en programas de Economía Naranja?,el sachainchi un cultivo promisorio y de desarrollo agroindustrial,"esta propuesta la desarrollamos en tres fases  1. con formación agrícola sostenible, 2.  agroindustria inclusiva y con 3. extencionismo.  
si bien es cierto los cultivos de coca han sido una gran problemática social, sin embargo y con miras a una construcción  sostenible y de reintegración, podríamos  tomar la visión empresarial que los cocaleros tienen de agregar valor a materias primas.  por tal motivo el sachainchi se convierte no en el mejor cultivo, sino el único capaz de sustituir la cultura de la coca en regiones altamente cocaleras. se hará a través de unas parcelas demostrativas con formación agroindustrial para producir el mejor aceite de sachainchi para el mundo.",5
950,Gloria Elizabeth Benavides Caicedo,Santiago de Cali,Valle del Cauca,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,secundaria activa en zonas de difícil acceso por problemáticas sociales,"educación en valores y preparando a los chicos hacia el emprendimiento y el mundo laboral, ya que en estos sectores de violencia generalizada, los chicos no han terminado su primaria, se han retirado de la secundaria y viven entre la delincuencia, la drogadicción y el reclutamiento a grupos delictivos. sería una manera de arrebatarles los chicos formandolos en una práctica laboral o formando micro empresas.",5
964,Gonzalo,Medellín,Antioquia,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,"recursos a tiempo, calidad permanente!","en el contexto legal actual que genera y obliga la gratuidad en las ie, el flujo de recursos económicos para mantenimiento de plantas físicas y sostenibilidad en el tiempo de proyectos pedagógicos básicos, transversales, de modalidad o de investigación, debe ser pertinente al inicio del calendario académico, no es posible, para todas las instituciones, desarrollar estos ítems, si los recursos llegan incompletos o a la mitad del año escolar, o aún no llegan! se requiere ajustar la gratuidad total, implementar cuotas de participación ciudadana según estrato, y que los recursos girados a las ie sean proporcionales a la infraestructura, población atendida, y esten disponibles desde el primer día",5
986,Gustavo Sanchez Bocanegra,Bogotá,Bogota D.C.,Colombia,¿Cómo erradicarías la pobreza en Colombia?,¿Cómo erradicarías la pobreza en Colombia?,acabar con la pobreza es tarea de todos,"que todo lo que consumimos se produzca en el país, apoyar a los mas necesitados con empleo y emprendimiento, acabando con los subsidios de parte del estado, y que estos sean dados como un trueque, el que recibe debe dar, con estos dineros se pueden fortalecer programas de emprendimiento, los profesionales del país, deben dar por lo menos dos horas a la semana, para alfabetizar a los iletrados, los pobres que necesiten de los servicios de un abogado brindar este servicio como si le estuvieran pagando una millonada, tecnificar el campo e impartir la educación diferencial, incentivar el consumo nacional por encima del extranjero,",5
998,Hector Cordero Carreño,Bogotá,no hay registro,Colombia,"¿Cómo acercar a las personas a la literatura, el cine, la música y el arte?","¿Cómo acercar a las personas a la literatura, el cine, la música y el arte?",cultura general,el arte literatura y cine en colombia excluyen las clases sociales x estrato social por costo para acceder a ellos se deben crear en museos bibliotecas y parques eventos gratuitos con obligacion de participacion (asistencia a ellos )de estudiantes pro nota  de materia cultura general que reemplazaria materias como español historia y geografia ademas de crear incentivo tributario a salas de cine que tengan dias de proyecciónes gratuitas,5
999,Hector Cordero Carreño,Bogotá,no hay registro,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,ciudad salud,se debe suprimir eps e ips y adecuar (equipos habitaciones especialistas etc) hospitales a nivel nacional con atencion integral en todas las especialidades para evitar tramitologia y paseo de la muerte depurar sisben y clase estrato 5 que reciba atencion con planes de medicina prepagada en clínicas particulares igual incentivos tributarios ademas del pago a entes privados que atiendan cualesquier evento médico de afiliados a sisben,5
1022,Hugo Moreno Polania,Sogamoso,Boyaca,Colombia,¿De qué manera podemos fortalecer el SENA?,¿De qué manera podemos fortalecer el SENA?,aumento del pasaje de buses y metros en $ 100.00 peso en todo el pais.,con este aumento en toso el pais en el sistema de buses se financiar el sena  para crear un sena para cada municipio del pais.,5
1073,Jaime Rodriguez Hernandez,Medellín,Antioquia,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,la prevención es fundamental,"la prevención en el sistema de salud es lo fundamental. nada se gana con los tratamientos prolongados a través de la vida,  basados a veces,  sin los exámenes adecuados y oportunos, sin la atención humana con el paciente y con medicamentos amarrados a sistemas pos y no pos.
el médico actualmente de acuerdo a las eps tratan al paciente con un objeto sujeto a minutos de consulta no importa su  condición´, y basados en  los aportes de cada uno. (eso es inhumano, hay que quitar de la mente de los que manejan la salud esos conceptos arcaicos). 
el gobierno debe intervenir estas situaciones y los médicos ser lo que juraron ser.",5
1076,Jairo Eduardo Pinzón,Bogotá,Bogota D.C.,Colombia,¿Cómo mejorarías las alertas tempranas para prevención de desastres ambientales?,¿Crees que los programas de prevención realmente funcionan?,"mejoramiento del sistema de alertas tempranas “en localidades con riesgo""","identificación de zonas con vulnerabilidad, amenazas y potenciales riesgos. planificar acciones de mitigación y adaptación
plan de acción que disminuya vulnerabilidad, recuperación de ecosistemas y establecimiento de árboles para manejo inteligente de sistemas agropecuarios, que mejoren el uso del suelo y recuperen áreas degradadas
instalación de sistemas de monitoreo hidro meteorológico. seguimiento en tiempo real a la precipitación y caudales. apps, para informar en tiempo real eventos climáticos extremos
concienciación de actores, para toma de decisiones oportunas que protejan el patrimonio social, económico y ambiental
infraestructura para proteger áreas de alto valor de conservación.",5
1092,Jairo Herrera Pardo,Barcelona,Catalonia,Spain,¿Cómo erradicarías la pobreza en Colombia?,¿Cómo erradicarías la pobreza en Colombia?,adicionar a la ley de regalías el runr  registro único nacional de regalías.,"para combatir la pobreza, votemos que sí a la creación del runr apropiandonos de nuestro derecho que nos corresponde previniendo y corrigiendo casos de ineficiencia y de corrupción actual.
que el estado le notifique a través de mensaje al teléfono, que ya está inscrito en el ""runr"" registro único nacional de regalías y que es propietario de una acción de regalía, incluso desde el día en que ha sido inscrito en el registro civil los nacidos en colombia.
vota sí para que podamos decir con orgullo colombiano que: ""somos dueños de las regalías"". participemos todos.
atentamente.
jairo herrera pardo, y lo digo como lo dice tarzán, orgulloso de ser colombiano desde barcelona españa.",5
1094,Jairo Martínez Escobar,Medellín,Antioquia,Colombia,¿Cómo mejorarías el acceso a los servicios sociales del Estado?,"¿Crees que con los servicios sociales del estado, todas tus necesidades básicas están cubiertas?",definir cuáles son los servicios sociales que presta el estado,"los responsables de prestar servicios sociales del estado deben hacer un listado de las entidades o divisiones que prestan los servicios, qué servicios prestan, qué funcionarios son los responsables (caro y nombre) y deben dejar claro qué población específica se considera beneficiaria de dicho servicio social. en lo posible definir cobertura (cantidad esperada de beneficiarios o usuarios) y cuál es su presupuesto anual.",5
1159,Jhan Carlos,Bogotá,no hay registro,Colombia,¿De qué manera podemos fortalecer el SENA?,¿De qué manera podemos fortalecer el SENA?,creacion de nuevos programas y aliaciones del sena con otras empresas,con esta propuesta mejoraria el servicio y la calidad de el personal que saldria ya que se harian alianciones y patrocionadores de programas que son interesantes para la poblacion que quiere salir adelante asi como generaria empleo en sectores como ejemplo la avicion etc,5
1215,Jorge Acuña Castillo,Bogotá,Bogota D.C.,Colombia,¿Qué propones para conservar el patrimonio cultural del país?,¿Crees conocer sobre nuestro patrimonio cultural colombiano?,fondo de inversión para el fortalecimiento de museos y de la educación artística,"hoy en día existen 27 fuentes de financiación que recaudan más de 1 billón de pesos anuales para el sector cultura, pero son insuficientes para conservar el vasto patrimonio cultural material e inmaterial de colombia. se propone crear un fondo de inversión para el programa de fortalecimiento de museos y otro para el mejoramiento de la educación artística en los colegios públicos, a partir de cuotas parafiscales que paguen coleccionistas y exhibidores de obras artísticas en el país, tasadores de arte, calificadoras de valores e inversionistas en cadenas de bloques. esto aumentaría los recursos para mejorar la infraestructura museística y la calidad de la educación artística en los colegios.",5
1220,Jorge Bonilla Alarcón,Bogotá,no hay registro,Colombia,¿Cómo la tecnología ayuda a los campesinos a sacarle provecho a sus cultivos?,Utiliza la tecnología para ayudar a los campesinos a saber cómo sacarle provecho a sus cultivos,diversificación de la agricultura en colombia.,"mi propuesta va encaminada a que en departamentos como boyacá en el cual no son diversificados los productos que se siembran, pues que se incentive en cultivo de la higuerilla, ya que hay muchas tierras desocupadas y que son aptas para la siembra del mencionado cultivo, de esta forma se colaboraría con la producción de biodiesel y de 699 productos más, además de generar más empleo en las áreas rurales.",5
